"","x"
"2348",301
"2349",32
"2350",48
"2351",102
"2352",100
"2353",65
"2354",128
"2355",142
"2356",30
"2357",32
"2358",42
"2359",157
"2360",61
"2361",309
"2362",95
"2363",20
"2364",62
"2365",27
"2366",87
"2367",645
"2368",134
"2369",19
"2370",120
"2371",199
"2372",46
"2373",50
"2374",92
"2375",46
"2376",97
"2377",267
"2378",195
"2379",41
"2380",192
"2381",242
"2382",24
"2383",52
"2384",0
"2385",27
"2386",21
"2387",15
"2388",234
"2389",505
"2390",101
"2391",305
"2392",158
"2393",842
"2394",232
"2395",19
"2396",109
"2397",311
"2398",28
"2399",21
"2400",309
"2401",120
"2402",88
"2403",333
"2404",402
"2405",39
"2406",3
"2407",78
"2408",30
"2409",52
"2410",539
"2411",873
"2412",85
"2413",340
"2414",419
"2415",230
"2416",274
"2417",1075
"2418",30
"2419",53
"2420",60
"2421",354
"2422",413
"2423",29
"2424",367
"2425",57
"2426",89
"2427",59
"2428",39
"2429",28
"2430",26
"2431",69
"2432",406
"2433",204
"2434",98
"2435",78
"2436",89
"2437",62
"2438",320
"2439",69
"2440",34
"2441",166
"2442",236
"2443",77
"2444",315
"2445",47
"2446",28
"2447",90
"2448",64
"2449",7
"2450",702
"2451",119
"2452",314
"2453",285
"2454",149
"2455",276
"2456",70
"2457",166
"2458",385
"2459",12
"2460",331
"2461",397
"2462",111
"2463",265
"2464",150
"2465",309
"2466",17
"2467",55
"2468",25
"2469",649
"2470",170
"2471",14
"2472",311
"2473",26
"2474",81
"2475",107
"2476",104
"2477",84
"2478",183
"2479",82
"2480",171
"2481",139
"2482",269
"2483",71
"2484",75
"2485",97
"2486",71
"2487",172
"2488",27
"2489",26
"2490",70
"2491",174
